,Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
188,Thaddeus Young, Power Forward, Left,1988-06-21,Georgia Tech,2007-11-07,16.0,https://www.basketball-reference.com/req/202106291/images/headshots/youngth01.jpg,203.0,106.0,Philadelphia 76ers,2007,1st round
189,Ausar Thompson, Small Forward, Right,2003-01-30,No College,2023-10-25,0.0,https://www.basketball-reference.com/req/202106291/images/headshots/thompau01.jpg,201.0,97.0,Detroit Pistons,2023,1st round
190,Miles Bridges, Small Forward and Power Forward, Left,1998-03-21,Michigan State,2018-10-17,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/bridgmi02.jpg,198.0,102.0,Los Angeles Clippers,2018,1st round
191,Vasilije Micić, Point Guard, Right,1994-01-13,No College,,0.0,https://www.basketball-reference.com/req/202106291/images/headshots/micicva01.jpg,196.0,90.0,Philadelphia 76ers,2014,2nd round
192,Paul Reed, Center and Power Forward, Right,1999-06-14,DePaul,2021-01-04,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/reedpa01.jpg,206.0,95.0,Philadelphia 76ers,2020,2nd round
193,Zach Collins, Center and Power Forward, Right,1997-11-19,Gonzaga,2017-10-20,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/colliza01.jpg,211.0,113.0,Sacramento Kings,2017,1st round
194,Jaden Ivey, Shooting Guard, Right,2002-02-13,Purdue,2022-10-19,1.0,https://www.basketball-reference.com/req/202106291/images/headshots/iveyja01.jpg,193.0,88.0,Detroit Pistons,2022,1st round
195,Cody Martin, Small Forward, Right,1995-09-28,No College,2019-10-25,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/martico01.jpg,196.0,92.0,Charlotte Hornets,2019,2nd round
196,Kevon Looney, Center and Power Forward, Right,1996-02-06,UCLA,2016-01-27,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/looneke01.jpg,206.0,100.0,Golden State Warriors,2015,1st round
197,Killian Hayes, Point Guard, Left,2001-07-27,No College,2020-12-23,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/hayeski01.jpg,196.0,88.0,Detroit Pistons,2020,1st round
